2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ROST,ZMH,HCP,IR,AAL,UAL,XLNX,OTIS,AJG,KDP,VRSK
PEG,ISRG,VNO,BXP,COL,HPE,MNST,AZO,ANSS,ANET,BKR
HIG,PH,DPS,NTRS,FTV,MSI,LYB,VFC,WST,DLTR,EL
ED,MRO,ZBH,NUE,PAYX,EIX,APTV,MTD,TWTR,WEC,EXR
ABC,WY,WMB,DG,KEY,O,O,WLTW,AWK,ROK,KMI
IVZ,HES,STJ,ILMN,A,NTRS,ALXN,WELL,STT,PPG,XEL
MOS,ABC,RCL,PH,DVN,IQV,ETR,MPC,AME,ES,CMI
MAT,AA,ADI,K,FITB,NEM,LVS,KMI,CTVA,OKE,COR
HUM,STJ,MCO,ROP,CBS,FE,ROK,CPRT,PEG,CTSH,CTVA
BSX,TYC,NLSN,WEC,NTRS,SBAC,KR,DAL,DFS,BKR,RSG
BRCM,ADS,EW,TROW,VTR,ROK,CERN,STT,AMP,DLR,KDP
SNDK,XEL,PAYX,CFG,CERN,SWK,AME,CLX,ALL,KR,EA
ZBH,WFM,ADS,VRTX,RHT,VRSK,RCL,DLTR,ODFL,STT,GPN
ADI,HST,NVDA,DLTR,PPL,BXP,FTV,FRC,TDG,CEG,VICI
SHW,HIG,FIS,DLPH,WEC,CERN,WY,SWKS,NUE,AWK,DD
GWW,SYMC,APA,NEM,CFG,INFO,IDXX,WY,ANET,DHI,MRNA
COH,GGP,PCAR,HIG,OKE,MKC,CTAS,ED,CPRT,VRSK,HAL
K,FIS,CLX,MNST,ORLY,MCHP,NTRS,KR,PSX,FAST,IR
WYNN,MCO,ES,TSN,RCL,RCL,RMD,KEYS,WMB,ON,PWR
RAI,BSX,WEC,VNO,EIX,TDG,VIAC,WMB,DLTR,WBA,ANSS
FIS,FISV,APH,TAP,MCHP,FLT,DLTR,CERN,ZBRA,ABC,ED
MSI,ADI,SE,RF,NUE,OMC,GLW,FTV,ES,IT,MLM
-,NBL,SWK,DTE,BXP,AWK,MTB,EIX,ARE,RSG,EFX
PNR,EL,FITB,VFC,HIG,IP,AWK,MKC,LEN,GPN,CDW
HCN,IVZ,GGP,AMP,RF,WY,XTSLA,MXIM,WY,ZBH,RCL
VNO,NU,ESS,MYL,ES,CHD,MSCI,AJG,KMI,IFF,PEG
BXP,IR,TSN,ES,WLTW,GPN,ANSS,TTWO,CMI,DFS,GEHC
HOG,FITB,LVLT,SWK,NEM,NUE,HSY,LYB,BLL,WTW,MPWR
FISV,APH,NTRS,LRCX,AZO,AMD,CTVA,DTE,PCAR,PCG,VMC
HOT,MTB,IP,ROK,DTE,RMD,HIG,EFX,WEC,CPRT,KR
MTZ,MAR,MJN,EL,SBAC,ESS,FITB,USD,VLO,ODFL,DG
EIX,K,BLKFDS,DPS,CLX,APTV,HAL,BBY,EXR,BAX,DLTR
LB,STZ,MU,HES,CAH,AEE,VTR,VLO,EQR,ALB,DVN
PGR,FE,WY,FCX,PFG,BLKFDS,CMG,AMP,KR,APTV,KHC
MCO,SIAL,SNDK,BCR,BLKFDS,VRSN,SYF,DHI,SWK,GWW,FICO
PAYX,GPC,RHT,VMC,DPS,HIG,FAST,FLT,LH,MTB,CBRE
LTR,GMCR,CMG,CAG,BBY,TSN,BLL,ETSY,ED,TSCO,KEYS
